,scale_ratio_log2,scale,lifespan_ratio_log2,med_exp,shape_ratio_log2,shape_exp,rate_overlap_wt,med_exp_overlap_wt,shape_med_overlap_wt
yihV%202,0.12045880343699905,14.90637096538577,0.4949775427174469,96.47505361111112,0.4027362880176837,6.472068475629433,0.0,1.0,0.0
norW,-0.5991948524507266,9.051792465405013,0.563803526340233,101.18909555555555,1.1643359122591388,11.17890141011181,1.0,1.0,1.0
norV,-1.1982744957261018,5.975766863326091,0.7093614665024675,111.93116402777778,1.9097049977851703,18.730845193227182,1.0,1.0,1.0
yncI,0.8257629739530409,24.304664833126612,0.29991386564910527,84.27427222222222,-0.5290970041696842,3.467411412617327,-1.0,1.0,0.0
yecP,-0.1589535442463432,12.2817549300752,0.3645043782906442,88.13302819444445,0.5085398414299733,7.175931183794173,0.0,1.0,1.0
bipA,0.08467235949339617,14.541162640262066,0.29059699513735454,83.73178569444445,0.22720063776480176,5.75825934733754,0.0,1.0,0.0
pgi3,-0.8245149580309208,7.742950408293979,0.7827628478046111,117.7733525,1.6100104461247855,15.210397366596238,1.0,1.0,1.0
nirC,-0.923853573920246,7.227740883844021,0.6747888973611489,109.28074319444444,1.5894803863661897,15.119626581898753,1.0,1.0,1.0
80%20MG%20yagS,0.46846897577757207,18.972887244100203,0.24932899700505057,81.37058680555556,-0.24894984608950804,4.288782500979576,-1.0,1.0,0.0
ssuE%202,-1.1113455939825938,6.346902877279282,0.42097543372737267,91.65120388888889,1.5232158141827543,14.440303508815765,1.0,1.0,1.0
yoaF,0.49477005084360937,19.32194485181424,0.7908680289225846,118.4368751388889,0.2660296758192069,6.129655997220602,-1.0,1.0,0.0
ycaL,0.1410646999463296,15.120805183376673,-0.057022304458653396,65.80312472222222,-0.23361916689401446,4.3518267661145495,0.0,0.0,0.0
ulaD,-0.6240504502874418,8.897178580164967,0.8524198855346243,123.59926708333333,1.4193021550434506,13.891962038266923,0.0,1.0,1.0
nagZ,0.6570768903721295,21.622707099826588,0.6897170674789205,110.41738736111111,0.020429170750146157,5.106547799558209,-1.0,1.0,0.0
sspA,-0.5379388038096737,9.444402689036973,0.42301546438461535,91.78089416666667,0.9529763030885176,9.71801999434073,1.0,1.0,1.0
nagK,0.5082849911927002,19.503800260270868,0.228898543003011,80.22639333333333,-0.2585312577300264,4.113372381932871,-1.0,1.0,0.0
ydjQ,,,,,,,0.0,0.0,0.0
MG-WT,0.0,13.712297022997832,0.0,68.45606652777778,0.0,4.992312113205061,0.0,0.0,0.0
lsrC,0.7338154113817024,22.80398055821467,0.49129951059173654,96.22941166666666,-0.21781910391042955,4.219851504477887,-1.0,1.0,0.0
yfbM,-1.6429640948604074,4.3906491795467195,0.7166085503823634,112.49484194444445,2.3697698228063917,25.621459912690668,1.0,1.0,1.0
ptsH,-0.7876151742620303,7.943546084937547,0.18727973796844222,77.94508944444443,0.9792104252513909,9.812379586019263,1.0,1.0,1.0
